SNo,Area,Country/Region,Last Update,Confirmed,Deaths,Recovered
409,"Shelby County, TN",US,3/8/2020 16:13,1,0,0
410,"Spartanburg County, SC",US,3/9/2020 0:03,1,0,0
411,"Spokane County, WA",US,3/8/2020 21:53,1,0,0
412,"St. Louis County, MO",US,3/8/2020 11:23,1,0,0
413,"Suffolk County, NY",US,3/8/2020 16:03,1,0,0
414,"Tempe, AZ",US,2/25/2020 21:23,1,0,1
415,"Tulsa County, OK",US,3/7/2020 4:43,1,0,0
416,"Ulster County, NY",US,3/8/2020 16:23,1,0,0
417,"Umatilla, OR",US,3/2/2020 20:23,1,0,0
418,"Unassigned Location, VT",US,3/8/2020 6:23,1,0,0
419,"Unknown Location, MA",US,3/8/2020 21:23,1,0,0
420,US,US,3/18/2020 19:33,1,0,106
421,"Virgin Islands, U.S.",US,3/14/2020 16:15,1,0,0
422,"Volusia County, FL",US,3/8/2020 3:03,1,0,0
423,"Wake County, NC",US,3/3/2020 20:53,1,0,0
424,"Wayne County, PA",US,3/6/2020 16:13,1,0,0
425,West Virginia,US,3/17/2020 23:33,1,0,0
426,"Williamson County, TN",US,3/5/2020 23:33,1,0,0
427,"Yolo County, CA",US,3/6/2020 20:13,1,0,0
428,,Vatican City,3/6/2020 15:43,1,0,0
429,Diamond Princess cruise ship,Australia,3/14/2020 2:33,0,0,0
430,French Guiana,France,3/18/2020 14:33,0,0,0
431,Guadeloupe,France,3/18/2020 14:33,0,0,0
432,Mayotte,France,3/18/2020 14:33,0,0,0
433,Reunion,France,3/18/2020 14:33,0,0,0
434,,Guam,3/18/2020 19:14,0,0,0
435,,Guernsey,3/17/2020 18:33,0,0,0
436,,Jersey,3/17/2020 18:33,0,0,0
437,,occupied Palestinian territory,3/11/2020 20:53,0,0,0
438,,Puerto Rico,3/17/2020 16:13,0,0,0
439,,Republic of the Congo,3/17/2020 21:33,0,0,0
440,,The Gambia,3/18/2020 14:13,0,0,0
441,"Lackland, TX (From Diamond Princess)",US,2/24/2020 23:33,0,0,0
442,"Montgomery County, TX",US,3/7/2020 19:53,0,0,0
443,"Omaha, NE (From Diamond Princess)",US,2/24/2020 23:33,0,0,0
444,"Travis, CA (From Diamond Princess)",US,2/24/2020 23:33,0,0,0
